,ZCTA,OWN,RENT
15095,ZCTA5 46312,42.5,57.5
15096,ZCTA5 46319,66.3,33.7
15097,ZCTA5 46320,38.5,61.5
15098,ZCTA5 46321,85.9,14.1
15099,ZCTA5 46322,78.1,21.9
15100,ZCTA5 46323,67.4,32.6
15101,ZCTA5 46324,66.2,33.8
15102,ZCTA5 46327,64.0,36.0
15103,ZCTA5 46340,84.8,15.2
15104,ZCTA5 46341,84.1,15.9
15105,ZCTA5 46342,76.7,23.3
15106,ZCTA5 46345,79.7,20.3
15107,ZCTA5 46346,65.4,34.6
15108,ZCTA5 46347,89.1,10.9
15109,ZCTA5 46348,85.1,14.9
15110,ZCTA5 46349,79.2,20.8
15111,ZCTA5 46350,75.0,25.0
15112,ZCTA5 46356,87.3,12.7
15113,ZCTA5 46360,65.4,34.6
15114,ZCTA5 46365,70.6,29.4
15115,ZCTA5 46366,79.6,20.4
15116,ZCTA5 46368,73.9,26.1
15117,ZCTA5 46371,88.8,11.3
15118,ZCTA5 46373,96.5,3.5
15119,ZCTA5 46374,85.3,14.7
15120,ZCTA5 46375,82.3,17.7
15121,ZCTA5 46376,74.5,25.5
15122,ZCTA5 46377,86.2,13.8
15123,ZCTA5 46379,48.5,51.5
15124,ZCTA5 46381,100.0,0.0
15125,ZCTA5 46382,94.6,5.4
15126,ZCTA5 46383,68.3,31.7
15127,ZCTA5 46385,83.8,16.2
15128,ZCTA5 46390,89.9,10.1
15129,ZCTA5 46391,84.8,15.2
15130,ZCTA5 46392,85.2,14.8
15131,ZCTA5 46393,85.6,14.4
15132,ZCTA5 46394,69.7,30.3
15133,ZCTA5 46402,43.1,56.9
15134,ZCTA5 46403,54.0,46.0
15135,ZCTA5 46404,60.1,39.9
15136,ZCTA5 46405,71.6,28.4
15137,ZCTA5 46406,61.2,38.8
15138,ZCTA5 46407,40.7,59.3
15139,ZCTA5 46408,62.1,37.9
15140,ZCTA5 46409,48.3,51.7
15141,ZCTA5 46410,61.7,38.3
15142,ZCTA5 46501,77.1,22.9
15143,ZCTA5 46502,100.0,0.0
15144,ZCTA5 46504,83.2,16.8
15145,ZCTA5 46506,75.6,24.4
15146,ZCTA5 46507,78.9,21.1
15147,ZCTA5 46508,78.2,21.8
15148,ZCTA5 46510,84.0,16.0
15149,ZCTA5 46511,76.6,23.4
15150,ZCTA5 46514,71.1,28.9
15151,ZCTA5 46516,59.9,40.1
15152,ZCTA5 46517,65.0,35.0
15153,ZCTA5 46524,86.4,13.6
15154,ZCTA5 46526,71.0,29.0
15155,ZCTA5 46528,80.4,19.6
15156,ZCTA5 46530,90.9,9.1
15157,ZCTA5 46531,94.3,5.7
15158,ZCTA5 46532,84.3,15.7
15159,ZCTA5 46534,79.9,20.1
15160,ZCTA5 46536,74.0,26.0
15161,ZCTA5 46537,88.6,11.4
15162,ZCTA5 46538,86.3,13.7
15163,ZCTA5 46539,78.8,21.2
15164,ZCTA5 46540,86.6,13.4
15165,ZCTA5 46542,78.4,21.6
15166,ZCTA5 46543,82.9,17.1
15167,ZCTA5 46544,66.2,33.8
15168,ZCTA5 46545,49.2,50.8
15169,ZCTA5 46550,76.0,24.0
15170,ZCTA5 46552,84.7,15.3
15171,ZCTA5 46553,84.5,15.5
15172,ZCTA5 46554,81.6,18.4
15173,ZCTA5 46555,77.4,22.6
15174,ZCTA5 46556,8.9,91.1
15175,ZCTA5 46561,87.3,12.7
15176,ZCTA5 46562,75.7,24.3
15177,ZCTA5 46563,77.3,22.7
15178,ZCTA5 46565,77.4,22.6
15179,ZCTA5 46567,84.3,15.7
15180,ZCTA5 46570,82.8,17.2
15181,ZCTA5 46571,75.6,24.4
15182,ZCTA5 46573,83.3,16.7
15183,ZCTA5 46574,85.8,14.2
15184,ZCTA5 46580,73.5,26.5
15185,ZCTA5 46582,78.6,21.4
15186,ZCTA5 46590,65.4,34.6
15187,ZCTA5 46595,100.0,0.0
15188,ZCTA5 46601,22.3,77.7
15189,ZCTA5 46613,61.9,38.1
15190,ZCTA5 46614,74.6,25.4
15191,ZCTA5 46615,59.1,40.9
15192,ZCTA5 46616,60.0,40.0
15193,ZCTA5 46617,64.8,35.2
15194,ZCTA5 46619,76.8,23.2
15195,ZCTA5 46628,72.1,27.9
15196,ZCTA5 46635,87.8,12.2
15197,ZCTA5 46637,64.1,35.9
15198,ZCTA5 46701,83.2,16.8
15199,ZCTA5 46702,82.8,17.2
15200,ZCTA5 46703,71.6,28.4
15201,ZCTA5 46704,59.5,40.5
15202,ZCTA5 46705,71.1,28.9
15203,ZCTA5 46706,79.9,20.1
15204,ZCTA5 46710,84.6,15.4
15205,ZCTA5 46711,72.3,27.7
15206,ZCTA5 46714,72.6,27.4
15207,ZCTA5 46721,75.4,24.6
15208,ZCTA5 46723,82.6,17.4
15209,ZCTA5 46725,81.2,18.8
15210,ZCTA5 46730,89.0,11.0
15211,ZCTA5 46731,85.7,14.3
15212,ZCTA5 46732,71.7,28.3
15213,ZCTA5 46733,79.0,21.0
15214,ZCTA5 46737,87.0,13.0
15215,ZCTA5 46738,73.9,26.1
15216,ZCTA5 46740,81.1,18.9
15217,ZCTA5 46741,84.4,15.6
15218,ZCTA5 46742,79.7,20.3
15219,ZCTA5 46743,90.0,10.0
15220,ZCTA5 46745,88.2,11.8
15221,ZCTA5 46746,74.2,25.8
15222,ZCTA5 46747,86.0,14.0
15223,ZCTA5 46748,93.7,6.3
15224,ZCTA5 46750,76.6,23.4
15225,ZCTA5 46755,70.9,29.1
15226,ZCTA5 46759,84.6,15.4
15227,ZCTA5 46760,85.6,14.4
15228,ZCTA5 46761,77.0,23.0
15229,ZCTA5 46763,77.3,22.7
15230,ZCTA5 46764,91.9,8.1
15231,ZCTA5 46765,93.7,6.3
15232,ZCTA5 46766,74.7,25.3
15233,ZCTA5 46767,67.7,32.3
15234,ZCTA5 46770,88.3,11.7
15235,ZCTA5 46771,0,0
15236,ZCTA5 46772,91.1,8.9
15237,ZCTA5 46773,85.0,15.0
15238,ZCTA5 46774,74.2,25.8
15239,ZCTA5 46776,75.9,24.1
15240,ZCTA5 46777,82.1,17.9
15241,ZCTA5 46779,79.0,21.0
15242,ZCTA5 46781,92.5,7.5
15243,ZCTA5 46783,87.3,12.7
15244,ZCTA5 46784,82.1,17.9
15245,ZCTA5 46785,83.4,16.6
15246,ZCTA5 46786,85.6,14.4
15247,ZCTA5 46787,86.9,13.1
15248,ZCTA5 46788,89.1,10.9
15249,ZCTA5 46791,92.8,7.2
15250,ZCTA5 46792,74.3,25.7
15251,ZCTA5 46793,81.9,18.1
15252,ZCTA5 46794,80.8,19.2
15253,ZCTA5 46795,81.4,18.6
15254,ZCTA5 46797,89.9,10.1
15255,ZCTA5 46798,87.1,12.9
15256,ZCTA5 46799,89.7,10.3
15257,ZCTA5 46802,35.5,64.5
15258,ZCTA5 46803,45.7,54.3
15259,ZCTA5 46804,73.2,26.8
15260,ZCTA5 46805,56.3,43.7
15261,ZCTA5 46806,54.6,45.4
15262,ZCTA5 46807,66.6,33.4
15263,ZCTA5 46808,63.5,36.5
15264,ZCTA5 46809,63.6,36.4
15265,ZCTA5 46814,94.3,5.7
15266,ZCTA5 46815,72.6,27.4
15267,ZCTA5 46816,54.1,45.9
15268,ZCTA5 46818,84.2,15.8
15269,ZCTA5 46819,74.2,25.8
15270,ZCTA5 46825,64.2,35.8
15271,ZCTA5 46835,71.0,29.0
15272,ZCTA5 46845,93.8,6.2
15273,ZCTA5 46901,69.0,31.0
15274,ZCTA5 46902,68.3,31.7
15275,ZCTA5 46910,77.8,22.2
15276,ZCTA5 46911,85.1,14.9
15277,ZCTA5 46913,88.5,11.5
15278,ZCTA5 46914,77.6,22.4
15279,ZCTA5 46915,75.4,24.6
15280,ZCTA5 46917,87.1,12.9
15281,ZCTA5 46919,72.5,27.5
15282,ZCTA5 46920,81.2,18.8
15283,ZCTA5 46922,0,0
15284,ZCTA5 46923,77.4,22.6
15285,ZCTA5 46926,90.7,9.3
15286,ZCTA5 46928,77.2,22.8
15287,ZCTA5 46929,73.8,26.2
15288,ZCTA5 46930,72.7,27.3
15289,ZCTA5 46931,77.6,22.4
15290,ZCTA5 46932,86.6,13.4
15291,ZCTA5 46933,69.2,30.8
15292,ZCTA5 46936,84.7,15.3
15293,ZCTA5 46938,83.5,16.5
15294,ZCTA5 46939,77.4,22.6
15295,ZCTA5 46940,85.6,14.4
