,ZCTA,marriedPercent
260,ZCTA5 01366,0.6702620599739243
261,ZCTA5 01367,0.5712249134948097
262,ZCTA5 01368,0.7284642857142857
263,ZCTA5 01370,0.6307082415160864
264,ZCTA5 01373,0.5384043572984749
265,ZCTA5 01375,0.6121555903049258
266,ZCTA5 01376,0.4585471100554236
267,ZCTA5 01378,0.7244288888888889
268,ZCTA5 01379,0.49155344827586206
269,ZCTA5 01420,0.50929606759831
270,ZCTA5 01430,0.7297062543921293
271,ZCTA5 01431,0.6639573643410853
272,ZCTA5 01432,0.5104405680765668
273,ZCTA5 01434,0.4243863275039746
274,ZCTA5 01436,0.5848826945412311
275,ZCTA5 01438,0.9072585365853658
276,ZCTA5 01440,0.5497133576475951
277,ZCTA5 01450,0.8130113369820172
278,ZCTA5 01451,0.7925039607695209
279,ZCTA5 01452,0.765729368372522
280,ZCTA5 01453,0.5944468987550953
281,ZCTA5 01460,0.6907758660243175
282,ZCTA5 01462,0.7023187560738581
283,ZCTA5 01463,0.7115973254086182
284,ZCTA5 01464,0.534154295532646
285,ZCTA5 01467,0.7533051948051948
286,ZCTA5 01468,0.6656584821428572
287,ZCTA5 01469,0.7218859591298616
288,ZCTA5 01473,0.6757768523836876
289,ZCTA5 01474,0.5842273190621814
290,ZCTA5 01475,0.6122736842105263
291,ZCTA5 01501,0.6380874673629243
292,ZCTA5 01503,0.6649583048530416
293,ZCTA5 01504,0.6859280736684918
294,ZCTA5 01505,0.7186459684893419
295,ZCTA5 01506,0.655764263322884
296,ZCTA5 01507,0.7226020202020201
297,ZCTA5 01510,0.47941305057096245
298,ZCTA5 01515,0.7201575931232091
299,ZCTA5 01516,0.7606277990169306
300,ZCTA5 01518,0.6709968652037618
301,ZCTA5 01519,0.7057867902665121
302,ZCTA5 01520,0.7470487950014877
303,ZCTA5 01521,0.6612227036395146
304,ZCTA5 01522,0.7799857040743389
305,ZCTA5 01523,0.6902560175054704
306,ZCTA5 01524,0.6601159618008186
307,ZCTA5 01525,0.0
308,ZCTA5 01527,0.6173938390195429
309,ZCTA5 01529,0.643950915141431
310,ZCTA5 01531,0.6733682008368201
311,ZCTA5 01532,0.7429001106369527
312,ZCTA5 01534,0.7270600972160849
313,ZCTA5 01535,0.6488085901027077
314,ZCTA5 01536,0.6717484441532918
