,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
189,ZCTA5 01093,282.0,1.4,24.6,21.0,18.9,2.2
190,ZCTA5 01094,310.0,6.1,25.0,0.0,16.4,23.8
191,ZCTA5 01095,14436.0,2.9,17.4,15.100000000000001,12.1,5.300000000000001
192,ZCTA5 01096,2522.0,0.3,18.299999999999997,15.6,9.399999999999999,3.0999999999999996
193,ZCTA5 01097,36.0,0.0,0.0,18.2,0.0,0.0
194,ZCTA5 01098,1095.0,3.2,12.600000000000001,29.200000000000003,11.7,5.7
195,ZCTA5 01103,2472.0,1.3,21.6,10.5,9.3,3.7
196,ZCTA5 01104,22285.0,1.7,17.3,9.2,6.4,2.5
197,ZCTA5 01105,12054.0,0.4,9.7,10.2,4.3,1.6
198,ZCTA5 01106,16077.0,3.8,17.9,14.4,9.8,5.9
199,ZCTA5 01107,11706.0,0.6,10.4,8.9,6.0,1.7000000000000002
200,ZCTA5 01108,26670.0,0.5,10.399999999999999,12.7,4.8,1.9
201,ZCTA5 01109,30987.0,0.5,11.1,8.2,4.2,3.3
202,ZCTA5 01118,14192.0,2.4,12.6,11.7,9.6,4.2
203,ZCTA5 01119,13942.0,2.4,12.5,11.6,5.9,3.4
204,ZCTA5 01128,2568.0,2.9,13.8,21.3,11.399999999999999,3.2
205,ZCTA5 01129,7160.0,0.7,15.600000000000001,13.1,7.199999999999999,2.3
206,ZCTA5 01151,9581.0,0.9,12.3,7.4,4.3,2.8
207,ZCTA5 01199,0.0,0,0.0,0.0,0.0,0.0
208,ZCTA5 01201,45557.0,2.1,15.2,14.6,9.5,4.2
209,ZCTA5 01220,8536.0,2.0,16.5,13.100000000000001,9.5,3.3
210,ZCTA5 01222,811.0,0.0,23.9,6.0,8.4,9.7
211,ZCTA5 01223,2336.0,1.1,17.0,22.6,13.2,7.5
212,ZCTA5 01224,242.0,0.0,45.8,7.3,0.0,0.0
213,ZCTA5 01225,3057.0,3.3,16.2,16.200000000000003,12.100000000000001,5.3
214,ZCTA5 01226,6944.0,2.2,20.5,13.399999999999999,6.1,7.9
215,ZCTA5 01229,131.0,0.0,0.0,26.3,13.2,0.0
216,ZCTA5 01230,8148.0,2.7,17.3,16.7,8.1,5.2
217,ZCTA5 01235,2904.0,2.5,22.4,19.2,6.300000000000001,3.9
218,ZCTA5 01236,1574.0,0.0,5.5,14.2,9.5,4.9
